,bias,type,allsides_url,agree,disagree,url,confidence
Ammo.com,Right,Reference,https://www.allsides.com/news-source/ammocom-media-bias,183,120,https://ammo.com/,low
Chicago Booth Initiative on Global Markets,Mixed,Reference,https://www.allsides.com/news-source/chicago-booth,290,286,http://www.igmchicago.org/,low
DetectFakeNews.com,Center,Reference,https://www.allsides.com/news-source/detectfakenewscom-media-bias,62,81,https://faculty.lsu.edu/fakenews/index.php,low
Face the Facts USA,Center,Reference,https://www.allsides.com/news-source/face-facts-usa,306,462,,n/a
Gallup,Center,Reference,https://www.allsides.com/news-source/gallup,800,732,https://www.gallup.com/home.aspx,low
Human Rights Watch,Center,Reference,https://www.allsides.com/news-source/human-rights-watch-media-bias,103,163,,low
Just Facts,Center,Reference,https://www.allsides.com/news-source/just-facts-media-bias,160,208,https://www.justfacts.com/,low
Migration Policy Institute,Center,Reference,https://www.allsides.com/news-source/migration-policy-institute-media-bias,17,17,,low
News Literacy Project,Center,Reference,https://www.allsides.com/news-source/news-literacy-project-media-bias,64,54,http://newslit.org/,n/a
Quinnipiac University,Center,Reference,https://www.allsides.com/news-source/quinnipiac-university,307,523,https://www.qu.edu/news-and-events/quinnipiac-university-poll/,low
Stimson Center,Center,Reference,https://www.allsides.com/news-source/stimson-center-media-bias,27,33,https://www.stimson.org/,low
The Thread,Mixed,Reference,https://www.allsides.com/news-source/thread-media-bias,84,85,https://www.thethreadweekly.com/,high
American Psychological Association,Center,Reference,https://www.allsides.com/news-source/american-psychological-association-media-bias,231,370,https://www.apa.org/,low
Ballotpedia,Center,Reference,https://www.allsides.com/news-source/ballotpedia,774,527,http://ballotpedia.org/,medium
Countable,Center,Reference,https://www.allsides.com/news-source/countable-media-bias,164,158,https://www.countable.us,high
DiversityInc,Lean Left,Reference,https://www.allsides.com/news-source/diversityinc-media-bias,1,1,https://www.diversityinc.com/,low
First Draft News,Center,Reference,https://www.allsides.com/news-source/first-draft-media-bias,48,54,https://firstdraftnews.org/,n/a
Govt. Accountability Office,Center,Reference,https://www.allsides.com/news-source/government-accountability-office-media-bias,38,30,https://www.gao.gov/,low
Ipsos,Center,Reference,https://www.allsides.com/news-source/ipsos-media-bias,12,20,https://www.ipsos.com/en-us,low
Kaiser Family Foundation,Center,Reference,https://www.allsides.com/news-source/kaiser-family-foundation-media-bias,15,20,https://www.kff.org/,low
More in Common,Center,Reference,https://www.allsides.com/news-source/more-common-media-bias,0,1,https://www.moreincommon.com/,low
Pew Research Center,Center,Reference,https://www.allsides.com/news-source/pew-research,2652,1702,https://www.pewresearch.org/,high
RedBlueDictionary.org,Mixed,Reference,https://www.allsides.com/news-source/redbluedictionary,214,168,http://redbluedictionary.org/,high
Sunlight Foundation,Center,Reference,https://www.allsides.com/news-source/sunlight-foundation,159,186,,low
United States Courts,Center,Reference,https://www.allsides.com/news-source/united-states-courts,260,354,http://www.uscourts.gov/,medium
Above The Law,Lean Left,News,https://www.allsides.com/news-source/above-law-media-bias,356,213,,low
Adventist Today,Lean Left,News,https://www.allsides.com/news-source/adventist-today-media-bias,9,11,https://atoday.org/,low
AframNews,Left,News,https://www.allsides.com/news-source/aframnews-media-bias,8,7,https://aframnews.com/,low
Afro,Left,News,https://www.allsides.com/news-source/afro-media-bias,9,5,https://afro.com/,low
Al Jazeera,Lean Left,News,https://www.allsides.com/news-source/al-jazeera-media-bias,5281,7680,https://www.aljazeera.com/,low
Albuquerque Journal,Center,News,https://www.allsides.com/news-source/albuquerque-journal-media-bias,17,28,https://www.abqjournal.com/,low
AllSides Community,Mixed,News,https://www.allsides.com/news-source/allsides-community,2736,1561,,high
AlterNet,Left,News,https://www.allsides.com/news-source/alternet-media-bias,15098,3394,http://www.alternet.org/,medium
American Greatness,Right,News,https://www.allsides.com/news-source/american-greatness-media-bias,585,256,https://amgreatness.com/,low
Anchorage Daily News,Center,News,https://www.allsides.com/news-source/anchorage-daily-news,66,63,http://www.adn.com/,low
Arc Digital,Center,News,https://www.allsides.com/news-source/arc-digital-media-bias,65,68,https://www.arcdigital.media/,low
Arkansas Democrat-Gazette,Left,News,https://www.allsides.com/news-source/arkansas-democrat-gazette,1142,889,http://www.arkansasonline.com/,low
Associated Press,Lean Left,News,https://www.allsides.com/news-source/associated-press-media-bias,31359,24504,https://apnews.com/,medium
Atlanta Black Star,Lean Left,News,https://www.allsides.com/news-source/atlanta-black-star-media-bias,157,208,,low
Attitude Magazine,Lean Left,News,https://www.allsides.com/news-source/attitude-magazine-media-bias,7,4,https://attitude.co.uk/,low
Austin Daily Herald,Center,News,https://www.allsides.com/news-source/austin-daily-herald-media-bias,5,3,https://www.austindailyherald.com/,low
AZ Central,Center,News,https://www.allsides.com/news-source/az-central-media-bias,315,574,https://www.azcentral.com/,n/a
Baltimore Sun,Center,News,https://www.allsides.com/news-source/baltimore-sun,232,288,https://www.baltimoresun.com/,low
Baptist News Global,Lean Left,News,https://www.allsides.com/news-source/baptist-news-global-media-bias,5,6,https://baptistnews.com/,low
Baptist Standard,Center,News,https://www.allsides.com/news-source/baptist-standard-media-bias,4,5,https://www.baptiststandard.com/,low
Barron's,Center,News,https://www.allsides.com/news-source/barrons-media-bias,20,12,https://www.barrons.com/,low
Bearing Drift,Right,News,https://www.allsides.com/news-source/bearing-drift,749,670,http://www.bearingdrift.com,high
BET,Lean Left,News,https://www.allsides.com/news-source/bet-media-bias,347,518,https://www.bet.com/,low
Biblical Gender Roles,Right,News,https://www.allsides.com/news-source/biblical-gender-roles-media-bias,242,102,,low
Bizpac Review,Right,News,https://www.allsides.com/news-source/bizpac-review-media-bias,167,105,https://www.bizpacreview.com/,low
Black Community News,Right,News,https://www.allsides.com/news-source/black-community-news-media-bias,2,6,https://blackcommunitynews.com/,low
Black News,Left,News,https://www.allsides.com/news-source/black-news-media-bias,4,4,https://blacknews.com/,low
Blavity,Left,News,https://www.allsides.com/news-source/blavity-media-bias,5,2,https://blavity.com/,low
Bloomberg,Lean Left,News,https://www.allsides.com/news-source/bloomberg-media-bias,17281,22360,http://www.bloomberg.com/,medium
Boing Boing,Left,News,https://www.allsides.com/news-source/boing-boing,1035,698,http://boingboing.net/,low
Boston Herald Editorial,Lean Right,News,https://www.allsides.com/news-source/boston-herald-editorial-media-bias,375,363,,low
Bowling Green Daily News,Lean Left,News,https://www.allsides.com/news-source/bowling-green-daily-news,695,736,http://www.bgdailynews.com/,low
Bridgemi.com,Center,News,https://www.allsides.com/news-source/bridgemicom-media-bias,208,178,https://www.bridgemi.com/,low
Brownstone Institute,Right,News,https://www.allsides.com/news-source/brownstone-institute-media-bias,101,83,https://brownstone.org/,low
BuzzFeed News,Left,News,https://www.allsides.com/news-source/buzzfeed-media-bias,27089,9622,http://buzzfeednews.com,medium
C-SPAN,Center,News,https://www.allsides.com/news-source/c-span,4400,1453,http://www.c-span.org/,medium
CalWatchdog,Center,News,https://www.allsides.com/news-source/calwatchdog,640,677,http://www.calwatchdog.com/,medium
Catholic Digest,Lean Right,News,https://www.allsides.com/news-source/catholic-digest-media-bias,1,5,https://www.catholicdigest.com/,low
Catholic News Service,Center,News,https://www.allsides.com/news-source/catholic-news-service-media-bias,4,2,https://catholicnews.com/,low
CBN,Right,News,https://www.allsides.com/news-source/cbn,7145,3636,http://www.cbn.com/,medium
Center - Major Media Sources,Center,News,https://www.allsides.com/news-source/center-major-media-sources,755,661,,n/a
Centre View,Lean Left,News,https://www.allsides.com/news-source/centre-view,685,736,http://www.centre-view.com,n/a
Chicago Crusader,Left,News,https://www.allsides.com/news-source/chicago-crusader-media-bias,104,49,,low
Chicago Defender,Left,News,https://www.allsides.com/news-source/chicago-defender-media-bias-0,1,0,,
Chicago Tribune,Center,News,https://www.allsides.com/news-source/chicago-tribune,2185,4096,http://www.chicagotribune.com/,low
Christian Headlines,Center,News,https://www.allsides.com/news-source/christian-headlines-media-bias,3,3,https://www.christianheadlines.com/,low
Christian News Now,Lean Right,News,https://www.allsides.com/news-source/christian-news-now-media-bias,4,3,https://christiannewsnow.com/,low
Christianity Today,Lean Right,News,https://www.allsides.com/news-source/christianity-today-media-bias,253,374,http://www.christianitytoday.com/,low
ChurchLeaders.com,Center,News,https://www.allsides.com/news-source/churchleaderscom-media-bias,1,2,https://churchleaders.com/,low
CNBC,Center,News,https://www.allsides.com/news-source/cnbc,3702,7137,http://cnbc.com,low
CNN (Online News),Left,News,https://www.allsides.com/news-source/cnn-media-bias,58092,50431,http://www.cnn.com,high
CNN Business,Lean Left,News,https://www.allsides.com/news-source/cnn-business-media-bias,653,375,https://www.cnn.com/business,low
CoinDesk,Center,News,https://www.allsides.com/news-source/coindesk-media-bias,13,17,https://www.coindesk.com/,low
Columbia Missourian,Center,News,https://www.allsides.com/news-source/columbia-missourian-media-bias,77,63,https://www.columbiamissourian.com/news/,low
Common Dreams,Left,News,https://www.allsides.com/news-source/common-dreams-media-bias,222,108,,low
Concord Monitor,Center,News,https://www.allsides.com/news-source/concord-monitor,97,115,http://www.concordmonitor.com/,low
Cook Report,Center,News,https://www.allsides.com/news-source/cook-report,1017,711,http://cookpolitical.com,low
Counterpointing,Mixed,News,https://www.allsides.com/news-source/counterpointing,467,430,http://www.counterpointing.com/,low
CU Independent,Center,News,https://www.allsides.com/news-source/cu-independent,447,509,http://cuindependent.com/,low
Daily Beast,Left,News,https://www.allsides.com/news-source/daily-beast-media-bias,21501,6571,http://www.thedailybeast.com/,high
Daily Cardinal,Center,News,https://www.allsides.com/news-source/daily-cardinal,505,544,http://www.dailycardinal.com/,low
Daily Citizen,Right,News,https://www.allsides.com/news-source/daily-citizen-media-bias,130,87,https://dailycitizen.focusonthefamily.com/,low
Daily Mail,Right,News,https://www.allsides.com/news-source/daily-mail,13439,7265,http://dailymail.co.uk,medium
Daily Northwestern,Lean Left,News,https://www.allsides.com/news-source/daily-northwestern,448,470,http://dailynorthwestern.com/,low
Daily Progress,Center,News,https://www.allsides.com/news-source/daily-progress,508,529,http://www.dailyprogress.com,n/a
DailyTrib.com,Center,News,https://www.allsides.com/news-source/dailytribcom-media-bias,12,14,https://www.dailytrib.com/,low
Deadline,Center,News,https://www.allsides.com/news-source/deadline-media-bias,27,40,,low
Democracy Now!,Left,News,https://www.allsides.com/news-source/democracy-now,14450,3366,http://www.democracynow.org/,low
Deseret News,Lean Right,News,https://www.allsides.com/news-source/deseret-news,1494,2029,https://www.deseret.com/,medium
Detroit Free Press,Lean Left,News,https://www.allsides.com/news-source/detroit-free-press,343,388,http://www.freep.com/,low
Detroit News,Center,News,https://www.allsides.com/news-source/detroit-news,217,356,http://www.detroitnews.com/,low
Diplomatic Courier,Center,News,https://www.allsides.com/news-source/diplomatic-courier,436,364,http://www.diplomaticourier.com/,medium
Drudge Report,Lean Right,News,https://www.allsides.com/news-source/drudge-report,2428,2321,http://www.drudgereport.com/,medium
East Bay Times,Lean Left,News,https://www.allsides.com/news-source/east-bay-times,149,101,http://www.eastbaytimes.com/,low
Eden Prairie Local News,Center,News,https://www.allsides.com/news-source/eden-prairie-local-news-media-bias,1,1,https://www.eplocalnews.org/,low
El Paso Times,Center,News,https://www.allsides.com/news-source/el-paso-times-media-bias,10,13,https://www.elpasotimes.com/,low
Erie Gay News,Lean Left,News,https://www.allsides.com/news-source/erie-gay-news-media-bias,2,1,https://www.eriegaynews.com/,low
ESPN.com,Lean Left,News,https://www.allsides.com/news-source/espn,301,318,https://www.espn.com/,low
Estes Park Trail Gazette,Center,News,https://www.allsides.com/news-source/estes-park-trail-gazette,338,407,http://www.eptrail.com/,n/a
Evie Magazine,Lean Right,News,https://www.allsides.com/news-source/evie-magazine-media-bias,237,110,https://www.eviemagazine.com/,low
FAIR,Lean Left,News,https://www.allsides.com/news-source/fair-media-bias,688,701,http://fair.org/,low
Falls Church News - Press,Left,News,https://www.allsides.com/news-source/falls-church-news-press,485,526,http://www.fcnp.com,n/a
Fiscal Times,Lean Right,News,https://www.allsides.com/news-source/fiscal-times,789,699,http://www.thefiscaltimes.com/,low
Florida Politics,Center,News,https://www.allsides.com/news-source/florida-politics-media-bias,15,36,https://floridapolitics.com/,low
Foreign Affairs,Center,News,https://www.allsides.com/news-source/foreign-affairs,1182,695,https://www.foreignaffairs.com,low
Fort Worth Star-Telegram,Center,News,https://www.allsides.com/news-source/fort-worth-star-telegram-media-bias,52,73,https://www.star-telegram.com/,low
Fox Business,Lean Right,News,https://www.allsides.com/news-source/fox-business-media-bias,387,216,https://www.foxbusiness.com/,low
Fox News (Opinion),Right,News,https://www.allsides.com/news-source/fox-news-editorial-media-bias,31652,7283,http://www.foxnews.com/opinion.html,low
Fox21,Center,News,https://www.allsides.com/news-source/fox21-media-bias,12,9,https://www.fox21online.com/,low
FrontPage Magazine,Right,News,https://www.allsides.com/news-source/frontpage-magazine,666,488,http://frontpagemag.com/,medium
Gay Times,Lean Left,News,https://www.allsides.com/news-source/gay-times-media-bias,2,2,https://www.gaytimes.co.uk/,low
GayNewsToday,Left,News,https://www.allsides.com/news-source/gaynewstoday-media-bias,4,1,https://www.gaynewstoday.com,low
Georgia Asian Times,Center,News,https://www.allsides.com/news-source/georgia-asian-times-media-bias,2,5,https://gasiantimes.com/,low
Georgia Voice,Left,News,https://www.allsides.com/news-source/georgia-voice-media-bias,1,0,https://thegavoice.com/,low
GLAAD,Left,Think Tanks,https://www.allsides.com/news-source/glaad-media-bias-0,1,0,https://www.glaad.org/,low
Good Faith Media,Lean Left,News,https://www.allsides.com/news-source/good-faith-media-media-bias,1,0,https://goodfaithmedia.org/,low
Google News,Lean Left,News,https://www.allsides.com/news-source/google-news-media-bias,1093,810,https://news.google.com/,medium
GQ.com,Lean Left,News,https://www.allsides.com/news-source/gqcom-media-bias,250,285,https://www.gq.com/,low
Haaretz,Center,News,https://www.allsides.com/news-source/haaretz-media-bias,38,85,https://www.haaretz.com/,low
Harvard Business School,Lean Left,News,https://www.allsides.com/news-source/harvard-business-school,854,1069,http://hbswk.hbs.edu/,low
Herald Democrat,Left,News,https://www.allsides.com/news-source/herald-democrat-0,564,464,http://heralddemocrat.com/,low
Herald-Tribune,Lean Left,News,https://www.allsides.com/news-source/herald-tribune-media-bias,9,6,,low
Hindustan Times,Center,News,https://www.allsides.com/news-source/hindustan-times-media-bias,4,5,https://www.hindustantimes.com/,low
Homeland Security Today,Lean Left,News,https://www.allsides.com/news-source/homeland-security-today-media-bias,13,17,https://www.hstoday.us/,low
HotAir,Lean Right,News,https://www.allsides.com/news-source/hotair,1156,1036,http://hotair.com/,low
HuffPost,Left,News,https://www.allsides.com/news-source/huffpost-media-bias,37373,22649,https://www.huffpost.com/,high
Idaho Statesman,Center,News,https://www.allsides.com/news-source/idaho-statesman-media-bias,159,207,http://www.idahostatesman.com/,low
IncentFit,Center,News,https://www.allsides.com/news-source/incentfit-media-bias,12,10,https://incentfit.com/,low
Indiana Daily Student,Center,News,https://www.allsides.com/news-source/indiana-daily-student,332,450,http://www.idsnews.com/,low
